sweep,idx,freq_mhz,t_ms,rssi_dbm,snr_db,epoch_s
0,0,920.0,201,-18.0,9.375,822917640
0,1,920.25,402,-19.0,9.5,822917641
0,2,920.4999,601,-19.0,9.75,822917641
0,3,920.75,801,-19.5,9.375,822917641
0,4,921.0,1001,-20.0,9.5,822917641
0,5,921.25,1201,-20.5,9.0,822917641
0,6,921.5001,1401,-20.0,9.5,822917642
0,7,921.75,1601,-20.0,9.5,822917642
0,8,922.0,1801,-20.0,10.0,822917642
0,9,922.25,2001,-20.0,9.75,822917642
0,10,922.4999,2201,-20.5,9.5,822917642
0,11,922.75,2402,-20.0,9.25,822917643
0,12,923.0,2601,-20.0,9.625,822917643
0,13,923.25,2802,-20.0,9.375,822917643
0,14,923.5001,3001,-20.0,9.5,822917643
0,15,923.75,3201,-21.5,9.125,822917643
0,16,924.0,3401,-20.5,9.625,822917644
1,0,920.0,203,-17.5,9.625,822917645
1,1,920.25,401,-19.0,9.375,822917645
1,2,920.4999,601,-21.0,9.5,822917645
1,3,920.75,801,-19.5,9.375,822917645
1,4,921.0,1001,-20.0,9.375,822917645
1,5,921.25,1201,-20.0,9.5,822917646
1,6,921.5001,1401,-20.0,9.625,822917646
1,7,921.75,1601,-20.0,9.5,822917646
1,8,922.0,1801,-21.5,9.375,822917646
1,9,922.25,2001,-20.0,9.25,822917646
1,10,922.4999,2201,-20.0,10.0,822917647
1,11,922.75,2401,-20.0,9.75,822917647
1,12,923.0,2601,-20.0,9.75,822917647
1,13,923.25,2801,-20.0,9.375,822917647
1,14,923.5001,3001,-19.5,10.125,822917647
1,15,923.75,3201,-20.0,9.375,822917648
1,16,924.0,3401,-20.0,9.625,822917648
2,0,920.0,201,-17.5,9.75,822917649
2,1,920.25,401,-19.5,9.5,822917649
2,2,920.4999,601,-20.0,9.5,822917649
2,3,920.75,801,-20.0,9.5,822917649
2,4,921.0,1001,-20.0,9.75,822917650
2,5,921.25,1201,-20.5,10.0,822917650
2,6,921.5001,1401,-20.0,9.25,822917650
2,7,921.75,1601,-20.0,9.25,822917650
2,8,922.0,1801,-20.0,9.25,822917650
2,9,922.25,2001,-21.0,10.0,822917651
2,10,922.4999,2202,-20.0,9.625,822917651
2,11,922.75,2401,-20.5,9.5,822917651
2,12,923.0,2604,-21.0,9.25,822917651
2,13,923.25,2801,-21.0,9.5,822917651
2,14,923.5001,3001,-20.0,9.25,822917652
2,15,923.75,3201,-20.5,9.25,822917652
2,16,924.0,3401,-20.5,9.5,822917652
3,0,920.0,202,-17.5,9.375,822917653
3,1,920.25,402,-18.0,9.25,822917653
3,2,920.4999,601,-20.5,9.25,822917653
3,3,920.75,801,-20.0,9.5,822917654
3,4,921.0,1001,-21.0,9.25,822917654
3,5,921.25,1201,-20.0,9.5,822917654
3,6,921.5001,1401,-20.0,9.25,822917654
3,7,921.75,1601,-20.5,9.625,822917654
3,8,922.0,1801,-20.5,9.375,822917655
3,9,922.25,2001,-20.0,9.5,822917655
3,10,922.4999,2201,-20.5,9.375,822917655
3,11,922.75,2401,-20.5,9.25,822917655
3,12,923.0,2602,-20.5,9.25,822917655
3,13,923.25,2801,-20.0,9.25,822917656
3,14,923.5001,3001,-20.0,9.0,822917656
3,15,923.75,3201,-20.5,9.25,822917656
3,16,924.0,3401,-20.5,9.625,822917656
4,0,920.0,201,-17.0,9.25,822917657
4,1,920.25,401,-19.5,9.125,822917657
4,2,920.4999,601,-20.0,9.75,822917658
4,3,920.75,801,-20.0,9.875,822917658
4,4,921.0,1001,-19.5,9.625,822917658
4,5,921.25,1201,-21.0,9.25,822917658
4,6,921.5001,1401,-20.0,9.875,822917658
4,7,921.75,1601,-20.0,9.25,822917659
4,8,922.0,1801,-20.5,9.625,822917659
4,9,922.25,2001,-20.0,9.5,822917659
4,10,922.4999,2201,-21.0,9.25,822917659
4,11,922.75,2401,-20.0,9.375,822917659
4,12,923.0,2602,-20.0,9.25,822917660
4,13,923.25,2801,-20.0,9.625,822917660
4,14,923.5001,3001,-20.0,9.375,822917660
4,15,923.75,3201,-20.0,8.875,822917660
4,16,924.0,3401,-20.0,9.375,822917660
